0	00
1	01
2	02
3	03
4	04
5	05
6	06
7	07
8	08
9	09
10	0A
11	0B
12	0C
13	0D
14	0E
15	0F
16	10
17	11
18	12
19	13
20	14
21	15
22	16
23	17
24	18
25	19
26	1A
27	1B
28	1C
29	1D
30	1E
31	1F
32	20
33	21
34	22
35	23
36	24
37	25
38	26
39	27
40	28
41	29
42	2A
43	2B
44	2C
45	2D
46	2E
47	2F
48	30
49	31
50	32
51	33
52	34
53	35
54	36
55	37
56	38
57	39
58	3A
59	3B
60	3C
61	3D
62	3E
63	3F
64	C389
65	41
66	42
67	43
68	44
69	45
70	46
71	47
72	48
73	49
74	4A
75	4B
76	4C
77	4D
78	4E
79	4F
80	50
81	51
82	52
83	53
84	54
85	55
86	56
87	57
88	58
89	59
90	5A
91	C384
92	C396
93	C385
94	C39C
95	5F
96	C3A9
97	61
98	62
99	63
100	64
101	65
102	66
103	67
104	68
105	69
106	6A
107	6B
108	6C
109	6D
110	6E
111	6F
112	70
113	71
114	72
115	73
116	74
117	75
118	76
119	77
120	78
121	79
122	7A
123	C3A4
124	C3B6
125	C3A5
126	C3BC
127	3F
128	3F
129	3F
130	3F
131	3F
132	3F
133	3F
134	3F
135	3F
136	3F
137	3F
138	3F
139	3F
140	3F
141	3F
142	3F
143	3F
144	3F
145	3F
146	3F
147	3F
148	3F
149	3F
150	3F
151	3F
152	3F
153	3F
154	3F
155	3F
156	3F
157	3F
158	3F
159	3F
160	3F
161	3F
162	3F
163	3F
164	3F
165	3F
166	3F
167	3F
168	3F
169	3F
170	3F
171	3F
172	3F
173	3F
174	3F
175	3F
176	3F
177	3F
178	3F
179	3F
180	3F
181	3F
182	3F
183	3F
184	3F
185	3F
186	3F
187	3F
188	3F
189	3F
190	3F
191	3F
192	3F
193	3F
194	3F
195	3F
196	3F
197	3F
198	3F
199	3F
200	3F
201	3F
202	3F
203	3F
204	3F
205	3F
206	3F
207	3F
208	3F
209	3F
210	3F
211	3F
212	3F
213	3F
214	3F
215	3F
216	3F
217	3F
218	3F
219	3F
220	3F
221	3F
222	3F
223	3F
224	3F
225	3F
226	3F
227	3F
228	3F
229	3F
230	3F
231	3F
232	3F
233	3F
234	3F
235	3F
236	3F
237	3F
238	3F
239	3F
240	3F
241	3F
242	3F
243	3F
244	3F
245	3F
246	3F
247	3F
248	3F
249	3F
250	3F
251	3F
252	3F
253	3F
254	3F
255	3F
